,unit,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
181,PC_ACT,ITH3,1.1,1.3,2.1,2.2,2.5,3.8,4.0,3.6,3.4,3.1,3.0,2.4
182,PC_ACT,ITH4,1.5,1.5,2.2,2.4,2.7,3.3,4.0,3.6,3.3,3.3,3.2,2.7
183,PC_ACT,ITH5,0.8,1.3,1.9,2.2,2.6,3.7,4.1,3.7,3.4,3.0,2.4,2.2
184,PC_ACT,ITI1,1.8,2.0,2.8,2.9,3.5,4.0,5.7,4.8,4.8,4.2,3.4,3.0
185,PC_ACT,ITI2,1.7,2.4,2.9,2.7,3.9,4.9,5.7,5.4,4.9,5.2,4.8,4.2
186,PC_ACT,ITI3,1.5,2.1,2.5,2.9,4.2,5.6,5.8,4.7,5.3,5.9,4.5,4.1
187,PC_ACT,ITI4,3.3,4.2,4.5,4.6,5.5,6.8,7.6,6.4,6.1,5.9,6.4,5.5
188,PC_ACT,LT00,1.3,3.3,7.4,8.0,6.6,,,,,,,
189,PC_ACT,LT01,,,,,,5.0,4.4,3.4,2.1,2.0,1.5,1.4
190,PC_ACT,LT02,,,,,,5.1,5.0,4.1,3.4,3.0,2.2,2.2
191,PC_ACT,LU00,1.6,1.2,1.3,1.4,1.6,1.8,1.6,1.9,2.2,2.1,1.4,1.3
192,PC_ACT,LV00,1.9,4.5,8.8,8.8,7.8,5.7,4.6,4.5,4.0,3.3,3.1,2.4
193,PC_ACT,ME00,,,,15.7,15.8,16.0,14.0,13.5,13.4,12.4,11.4,11.9
194,PC_ACT,MK00,28.7,26.3,26.6,25.9,25.5,23.9,23.3,21.3,19.1,17.4,15.5,12.4
195,PC_ACT,MT00,2.6,2.9,4.1,3.8,3.8,3.5,2.9,2.7,2.4,2.0,1.8,0.9
196,PC_ACT,NL11,2.1,2.1,1.7,2.4,2.5,2.9,3.3,4.0,3.3,2.5,1.8,1.6
197,PC_ACT,NL12,1.2,1.1,1.4,1.9,2.1,2.8,3.0,3.5,2.8,2.3,1.9,1.4
198,PC_ACT,NL13,1.7,1.4,1.8,1.8,2.4,2.5,3.1,3.4,2.8,2.2,1.4,0.9
199,PC_ACT,NL21,1.2,1.0,1.1,1.4,1.7,2.5,2.9,2.8,2.5,2.0,1.4,1.0
200,PC_ACT,NL22,1.1,1.0,1.3,1.5,1.6,2.2,2.8,2.7,2.3,1.8,1.3,1.0
201,PC_ACT,NL23,1.3,0.9,1.6,1.5,2.3,3.6,4.5,3.8,3.7,2.5,1.7,1.1
202,PC_ACT,NL31,0.9,0.8,1.0,1.3,1.5,1.8,2.3,2.6,1.9,1.4,1.2,0.9
203,PC_ACT,NL32,1.1,0.9,1.2,1.5,1.8,2.4,2.6,2.6,2.2,1.7,1.4,0.9
204,PC_ACT,NL33,1.3,1.3,1.5,1.9,2.5,3.2,3.5,3.6,3.0,2.3,1.6,1.3
205,PC_ACT,NL34,1.2,,,1.1,1.1,2.2,2.1,2.0,1.9,1.0,1.0,0.9
206,PC_ACT,NL41,1.1,0.9,1.2,1.5,1.6,2.2,2.6,2.7,2.2,1.7,1.3,0.9
207,PC_ACT,NL42,1.9,1.8,1.6,1.6,1.8,2.4,2.7,2.5,2.1,1.8,1.0,0.8
208,PC_ACT,NO01,0.3,0.5,0.8,0.8,0.6,0.8,0.7,1.0,1.2,1.1,1.0,1.0
209,PC_ACT,NO02,,,0.7,0.6,0.7,0.7,0.6,0.8,1.4,,,
210,PC_ACT,NO03,0.4,0.6,0.8,1.1,0.8,0.8,1.1,1.3,1.2,1.3,,
211,PC_ACT,NO04,,,0.5,0.4,0.4,0.7,0.8,0.9,1.6,1.5,1.4,
212,PC_ACT,NO05,0.3,0.5,0.6,0.6,0.5,0.4,0.6,0.9,1.3,1.3,1.1,
213,PC_ACT,NO06,0.6,0.7,0.9,0.8,0.5,0.6,0.8,0.9,0.7,,,
214,PC_ACT,NO07,,0.6,0.6,0.7,0.6,0.6,0.6,0.3,0.8,,,
215,PC_ACT,PL21,2.3,2.9,3.7,3.9,4.5,5.1,4.5,3.2,2.1,1.4,0.8,0.5
216,PC_ACT,PL22,2.1,2.0,3.0,3.6,4.0,4.2,3.9,3.1,2.0,1.3,0.4,0.6
217,PC_ACT,PL41,2.8,2.9,2.9,3.3,3.3,4.0,3.3,2.8,2.0,1.4,0.4,0.5
218,PC_ACT,PL42,3.3,3.5,4.7,4.9,5.0,4.5,3.4,2.9,2.2,1.4,0.8,
219,PC_ACT,PL43,1.7,2.5,2.7,2.8,2.7,2.6,2.2,1.4,1.2,,,
220,PC_ACT,PL51,2.7,2.7,3.6,4.4,4.4,4.7,3.9,2.8,1.7,1.3,0.7,
221,PC_ACT,PL52,2.0,2.1,2.5,2.5,3.1,3.3,2.7,2.0,,,,
222,PC_ACT,PL61,3.3,3.0,3.3,4.1,4.8,5.0,4.2,3.1,2.9,1.9,1.2,0.8
223,PC_ACT,PL62,2.9,3.0,2.5,3.5,4.8,5.2,4.8,4.3,2.7,2.1,1.4,1.0
224,PC_ACT,PL63,1.5,1.2,2.4,2.8,3.4,4.2,3.6,2.2,1.7,0.9,0.8,
225,PC_ACT,PL71,2.7,2.3,2.8,3.5,4.8,5.4,4.2,3.2,2.2,1.3,1.5,0.8
226,PC_ACT,PL72,3.3,4.0,4.9,6.0,6.6,6.2,5.4,4.2,3.5,2.1,1.7,1.2
227,PC_ACT,PL81,2.8,3.7,3.1,3.6,4.8,4.3,4.3,4.1,3.3,2.5,2.7,1.8
228,PC_ACT,PL82,2.5,2.2,3.2,3.7,4.9,5.5,6.0,4.3,3.4,2.5,2.6,1.7
229,PC_ACT,PL84,2.4,2.6,3.2,4.0,3.6,4.5,4.5,3.5,2.8,1.6,,
