,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
128,PC,Y_GE15,F,FRD2,9.8,10.9,10.5,9.7,9.9,11.4,12.4,9.7,10.8,10.6,8.4,11.2
129,PC,Y_GE15,F,FRE1,11.5,12.9,12.8,13.0,12.4,14.3,12.6,13.1,12.5,11.6,11.4,10.3
130,PC,Y_GE15,F,FRE2,7.9,9.9,11.5,9.5,10.9,12.1,11.8,11.5,11.4,10.3,7.9,9.3
131,PC,Y_GE15,F,FRF1,7.1,8.4,8.9,8.2,7.9,10.3,11.3,8.9,9.6,8.4,7.9,6.5
132,PC,Y_GE15,F,FRF2,8.8,9.7,9.2,10.3,10.6,10.9,11.0,11.3,11.2,9.6,9.4,9.2
133,PC,Y_GE15,F,FRF3,8.9,10.7,9.6,10.2,10.9,12.1,11.8,11.3,10.6,10.4,10.4,8.6
134,PC,Y_GE15,F,FRG0,6.8,8.7,9.3,9.0,9.1,9.2,8.7,8.9,9.0,7.1,8.6,7.9
135,PC,Y_GE15,F,FRH0,5.5,6.8,7.7,7.1,8.1,8.5,7.4,7.1,9.5,7.7,6.9,6.4
136,PC,Y_GE15,F,FRI1,8.3,9.0,9.2,8.9,9.6,8.8,8.0,9.7,10.1,9.8,9.2,9.0
137,PC,Y_GE15,F,FRI2,6.1,6.4,6.2,7.5,7.3,6.7,8.8,8.0,6.9,5.1,7.0,7.7
138,PC,Y_GE15,F,FRI3,7.4,8.8,6.4,7.7,9.0,10.5,11.3,8.9,8.6,10.4,9.6,8.8
139,PC,Y_GE15,F,FRJ1,9.5,12.7,11.7,12.1,14.9,13.1,12.5,12.2,11.4,12.4,11.9,10.5
140,PC,Y_GE15,F,FRJ2,6.9,9.8,7.8,8.6,8.7,8.1,9.0,8.2,8.5,7.7,9.5,7.4
141,PC,Y_GE15,F,FRK1,7.4,7.8,7.5,9.0,10.5,9.9,7.3,8.0,7.3,8.4,8.4,5.7
142,PC,Y_GE15,F,FRK2,6.8,8.5,8.7,8.6,8.1,8.4,8.4,9.0,8.1,7.5,7.3,7.3
143,PC,Y_GE15,F,FRL0,7.8,9.0,10.2,10.5,10.2,11.0,9.5,11.1,10.4,9.9,8.9,7.7
144,PC,Y_GE15,F,FRM0,,,,,,15.3,14.1,16.5,9.8,13.5,,
